Variable1,Variable2,Correlation
CustomerID,CustomerID,1.0
Gender,CustomerID,0.0103874595345729
Age,CustomerID,0.0438701340639679
Tenure,CustomerID,-0.0320137760664293
MonthlyCharges,CustomerID,-0.012750428655756
Churn,CustomerID,-0.0158300033472287
TotalCharges,CustomerID,-0.0465342845317299
SubscriptionPlan_Premium,CustomerID,0.009256580221286
SubscriptionPlan_Standard,CustomerID,-0.0295184123419875
CustomerID,Gender,0.0103874595345729
Gender,Gender,1.0
Age,Gender,-0.0119696392646571
Tenure,Gender,-0.0057844408690383
MonthlyCharges,Gender,0.0279740306717454
Churn,Gender,-0.0001003984685671
TotalCharges,Gender,0.0003375194759373
SubscriptionPlan_Premium,Gender,0.0100648309339218
SubscriptionPlan_Standard,Gender,0.0069574956344119
CustomerID,Age,0.0438701340639679
Gender,Age,-0.0119696392646571
Age,Age,1.0
Tenure,Age,0.0361184022303792
MonthlyCharges,Age,0.043056836887331
Churn,Age,0.0110818254523058
TotalCharges,Age,0.0485985645196122
SubscriptionPlan_Premium,Age,-0.0669533024960693
SubscriptionPlan_Standard,Age,0.0473451790409164
CustomerID,Tenure,-0.0320137760664293
Gender,Tenure,-0.0057844408690383
Age,Tenure,0.0361184022303792
Tenure,Tenure,1.0
MonthlyCharges,Tenure,0.0601858828255109
Churn,Tenure,-0.0085954673344955
TotalCharges,Tenure,0.8099539178671159
SubscriptionPlan_Premium,Tenure,-0.1067855719934824
SubscriptionPlan_Standard,Tenure,0.0330385644465193
CustomerID,MonthlyCharges,-0.012750428655756
Gender,MonthlyCharges,0.0279740306717454
Age,MonthlyCharges,0.043056836887331
Tenure,MonthlyCharges,0.0601858828255109
MonthlyCharges,MonthlyCharges,1.0
Churn,MonthlyCharges,-0.033236201360212
TotalCharges,MonthlyCharges,0.5529680787229014
SubscriptionPlan_Premium,MonthlyCharges,-0.0413858036053051
SubscriptionPlan_Standard,MonthlyCharges,0.0050084953477697
CustomerID,Churn,-0.0158300033472287
Gender,Churn,-0.0001003984685671
Age,Churn,0.0110818254523058
Tenure,Churn,-0.0085954673344955
MonthlyCharges,Churn,-0.033236201360212
Churn,Churn,1.0
TotalCharges,Churn,-0.0327100336208523
SubscriptionPlan_Premium,Churn,-0.0261222703677722
SubscriptionPlan_Standard,Churn,0.023972269612841
CustomerID,TotalCharges,-0.0465342845317299
Gender,TotalCharges,0.0003375194759373
Age,TotalCharges,0.0485985645196122
Tenure,TotalCharges,0.8099539178671159
MonthlyCharges,TotalCharges,0.5529680787229014
Churn,TotalCharges,-0.0327100336208523
TotalCharges,TotalCharges,1.0
SubscriptionPlan_Premium,TotalCharges,-0.0913247193655105
SubscriptionPlan_Standard,TotalCharges,0.0345255047763374
CustomerID,SubscriptionPlan_Premium,0.009256580221286
Gender,SubscriptionPlan_Premium,0.0100648309339218
Age,SubscriptionPlan_Premium,-0.0669533024960693
Tenure,SubscriptionPlan_Premium,-0.1067855719934824
MonthlyCharges,SubscriptionPlan_Premium,-0.0413858036053051
Churn,SubscriptionPlan_Premium,-0.0261222703677722
TotalCharges,SubscriptionPlan_Premium,-0.0913247193655105
SubscriptionPlan_Premium,SubscriptionPlan_Premium,1.0
SubscriptionPlan_Standard,SubscriptionPlan_Premium,-0.480064883794201
CustomerID,SubscriptionPlan_Standard,-0.0295184123419875
Gender,SubscriptionPlan_Standard,0.0069574956344119
Age,SubscriptionPlan_Standard,0.0473451790409164
Tenure,SubscriptionPlan_Standard,0.0330385644465193
MonthlyCharges,SubscriptionPlan_Standard,0.0050084953477697
Churn,SubscriptionPlan_Standard,0.023972269612841
TotalCharges,SubscriptionPlan_Standard,0.0345255047763374
SubscriptionPlan_Premium,SubscriptionPlan_Standard,-0.480064883794201
SubscriptionPlan_Standard,SubscriptionPlan_Standard,1.0
