FalsePositiveRate,TruePositiveRate
0.0,0.0
0.004149377593360996,0.0
0.012448132780082987,0.0
0.012448132780082987,0.01694915254237288
0.016597510373443983,0.01694915254237288
0.024896265560165973,0.01694915254237288
0.029045643153526972,0.03389830508474576
0.03319502074688797,0.03389830508474576
0.03319502074688797,0.05084745762711865
0.03734439834024896,0.05084745762711865
0.04564315352697095,0.05084745762711865
0.04979253112033195,0.05084745762711865
0.07053941908713693,0.05084745762711865
0.07468879668049792,0.05084745762711865
0.08713692946058091,0.05084745762711865
0.0912863070539419,0.0847457627118644
0.1037344398340249,0.0847457627118644
0.11203319502074689,0.0847457627118644
0.13278008298755187,0.13559322033898305
0.14107883817427386,0.13559322033898305
0.16182572614107885,0.13559322033898305
0.17427385892116182,0.13559322033898305
0.1908713692946058,0.15254237288135594
0.1950207468879668,0.1694915254237288
0.22406639004149378,0.1694915254237288
0.2987551867219917,0.22033898305084745
0.3070539419087137,0.288135593220339
0.34439834024896265,0.3220338983050847
0.38589211618257263,0.3389830508474576
0.44398340248962653,0.4067796610169492
0.46887966804979253,0.423728813559322
0.5352697095435685,0.4745762711864407
0.5726141078838174,0.5423728813559322
0.6265560165975104,0.5932203389830508
0.6804979253112033,0.6779661016949152
0.7261410788381742,0.6949152542372882
0.7759336099585062,0.7288135593220338
0.8008298755186722,0.7796610169491526
0.8298755186721992,0.8305084745762712
0.8423236514522822,0.847457627118644
0.8713692946058091,0.864406779661017
0.8879668049792531,0.8813559322033898
0.9253112033195021,0.9322033898305084
0.941908713692946,0.9322033898305084
0.9585062240663901,0.9491525423728814
0.979253112033195,0.9830508474576272
0.979253112033195,1.0
0.991701244813278,1.0
1.0,1.0
